Image,Contrast
ed3da4a7f.jpg,57.9065736958719
869e20956.jpg,35.756981357048524
6c08d1338.jpg,73.75982552727633
295782a41.jpg,42.86460460432426
8d211402c.jpg,64.72914036073489
bfb50d33c.jpg,40.730166172617224
a3e6c57c0.jpg,55.6161320225037
6e1604036.jpg,68.75856635679115
46bf0f8fd.jpg,64.57975380467003
cf69f5e23.jpg,43.617149837912486
46ac1ece9.jpg,47.49053102903847
e5a57148b.jpg,60.052204964924364
a23663710.jpg,34.60525302266043
dcc09817d.jpg,76.7296303504611
0a8654171.jpg,60.87813411627993
0bf9730f8.jpg,54.040437320071185
e91a86909.jpg,52.73050523864684
914e04d81.jpg,63.75825675268665
bce3148e0.jpg,59.378664716995225
39ec629d4.jpg,24.616889705068644
edcd49eb9.jpg,66.12400703425413
26b49c568.jpg,39.6612646638756
819a2070d.jpg,71.71542861469153
c9df69a69.jpg,37.345155502454226
1425df1c0.jpg,60.60848407215236
5a5351cd1.jpg,69.26128895172604
649da9787.jpg,52.42105452645386
9d94fc5ab.jpg,72.31766211651357
430a117cf.jpg,71.66425957562268
089d1f450.jpg,75.41599850768922
8c612a5cd.jpg,62.92294556317763
9eb38d187.jpg,47.87223214524313
9e0dcbfaa.jpg,62.422495819092006
9b065189a.jpg,37.0710270719436
bfd7762ab.jpg,56.91649805780166
2ccf13852.jpg,61.580771912271146
f3346d46c.jpg,70.746388261009
44f2d6e06.jpg,65.70339675578012
8d2236147.jpg,51.297952173603846
ffa5fa27e.jpg,49.80334325240147
a8e442c41.jpg,50.73600951124736
80c7d44b4.jpg,74.03028946261409
8752dfba4.jpg,69.99332340421003
31687c1c1.jpg,57.56523839409314
54b05b50e.jpg,77.64136299486405
a1e4a14f0.jpg,32.750821237466795
533329c32.jpg,47.806828309472024
7e24c29b4.jpg,78.63200423589237
0ce93c101.jpg,44.00295446845421
1829ac06d.jpg,63.17276934911083
1b6b6961a.jpg,39.75172922687973
69e147623.jpg,59.63371835936755
6382dbc2a.jpg,49.49489554236844
949b3207c.jpg,51.49130552832155
a58e61ec1.jpg,65.2395394282488
